Title,IMDB Rating,Genre
7 (Seven),N/A,"Short, Sci-Fi"
7 años,6.8,Drama
7 Khoon Maaf,6.2,"Drama, Mystery, Thriller"
90 ML,3.4,Comedy
93 Days,6.0,Drama
A 2nd Chance,5.1,"Crime, Thriller"
A Babysitter's Guide to Monster Hunting,5.4,"Comedy, Family, Fantasy"
A Bad Moms Christmas,5.6,Comedy
A Beautiful Life,6.7,"Drama, Romance"
A Billion Colour Story,8.1,Drama
A Boy Called Po,6.6,"Drama, Fantasy"
A Bridge Too Far,7.4,"Drama, History, War"
A California Christmas,5.8,"Comedy, Drama, Romance"
Cuckoo on a Choo Choo,6.6,"Comedy, Short"
A Christmas Prince,5.8,"Comedy, Family, Romance"
A Christmas Prince: The Royal Baby,5.4,"Family, Romance"
A Christmas Prince: The Royal Wedding,5.3,"Drama, Romance"
A Cinderella Story,5.9,"Comedy, Family, Romance"
A Cinderella Story: Christmas Wish,5.3,"Comedy, Family, Fantasy, Music, Romance"
A Clockwork Orange,8.3,"Crime, Drama, Sci-Fi"
A Dangerous Woman,5.8,"Drama, Romance"
A Fairly Odd Summer,3.8,"Animation, Comedy, Family, Fantasy"
A Fall from Grace,5.9,"Drama, Fantasy, Thriller"
A Family Affair,6.8,Comedy
A Family Man,6.5,Drama
A Family Reunion Christmas,5.7,"Comedy, Family"
A Flying Jatt,3.0,"Action, Adventure, Comedy"
A Fortunate Man,N/A,"Short, Drama"
A Futile and Stupid Gesture,6.8,"Biography, Comedy"
A Ghost Story,6.9,"Drama, Fantasy, Romance"
A Glimpse Inside the Mind of Charles Swan III,4.7,Comedy
A Go! Go! Cory Carson Christmas,6.4,"Animation, Short, Family"
A Grand Night In: The Story of Aardman,7.6,"Documentary, History"
A Haunted House,5.0,"Comedy, Fantasy, Horror"
A Kid from Coney Island,7.1,"Documentary, Biography, Sport"
A Kind of Murder,5.3,"Crime, Drama, Thriller"
A Little Chaos,6.5,"Drama, Romance"
A Love Story,7.8,"Short, Horror"
A Monster Calls,7.5,"Adventure, Drama, Family"
A Most Violent Year,7.0,"Action, Crime, Drama"
A New York Christmas Wedding,5.4,"Drama, Romance"
A Night at the Roxbury,6.2,"Comedy, Music, Romance"
A Patch of Fog,6.4,Thriller
A Perfect Ending,5.7,"Drama, Romance"
A Perfect Man,5.2,"Drama, Romance"
A Princess for Christmas,6.4,"Comedy, Drama, Family, Romance"
A Queen Is Born,N/A,N/A
A Russell Peters Christmas Special,4.1,Comedy
A Scandall,3.1,Thriller
A Second Chance,4.7,"Adventure, Drama, Family"
A Separation,9.6,"Short, Drama"
A Serious Man,7.1,"Comedy, Drama"
A Shaun the Sheep Movie: Farmageddon,6.8,"Animation, Adventure, Comedy"
A Silent Voice,N/A,Short
A Single Man,7.5,"Drama, Romance"
A Sort of Homecoming,5.9,Drama
A Stoning in Fulham County,5.8,"Crime, Drama, Thriller"
A StoryBots Christmas,6.1,"Family, Fantasy, Musical"
Serious Games 4: A Sun with No Shadow,7.3,"Documentary, Animation, Short"
A Tale of Love and Darkness,6.0,"Biography, Drama, History"
A Thin Line Between Love and Hate,5.7,"Comedy, Crime, Drama"
A Thousand Words,5.9,"Comedy, Drama"
A Trip to Jamaica,5.0,"Comedy, Drama"
A Very Country Christmas,6.1,"Family, Romance"
A Very Murray Christmas,5.5,"Comedy, Music, Musical"
A Very Special Love,6.7,"Comedy, Romance"
A Walk to Remember,7.3,"Drama, Romance"
A Wednesday,8.1,"Action, Crime, Drama"
A Witches' Ball,5.1,"Adventure, Comedy, Family"
A Wrinkle in Time,4.2,"Adventure, Family, Fantasy"
A Yellow Bird,5.5,Drama
A.I.C.O. Incarnation,6.4,"Animation, Action, Sci-Fi"
A.M.I.,3.9,"Horror, Thriller"
Axl Rose: The Prettiest Star,6.9,"Documentary, Biography, Music"
Ask Tesadüfleri Sever,7.2,"Drama, Romance"
Aadu 2,7.1,Comedy
Aagey Se Right,5.1,"Comedy, Crime, Drama"
Aakhri Adaalat,5.2,"Action, Thriller"
Aalorukkam,6.5,Drama
Aamir,7.7,"Action, Crime, Drama"
Aapla Manus,7.1,"Drama, Thriller"
Aarakshan,6.2,"Drama, Thriller"
Aashayein,7.1,Drama
Aata Pita,6.3,Drama
Aaviri,4.2,"Drama, Thriller"
Abby Hatcher,6.2,"Animation, Adventure, Comedy"
Abby Sen,5.9,"Comedy, Drama, Sci-Fi"
Chunar ABCD 2 Cover by Vivek Verma,N/A,Music
ABCD (Any Body Can Dance),6.3,"Drama, Music"
Abdullah: The Final Witness,7.0,"Action, Crime, Drama"
Abhinetri,6.0,"Comedy, Horror"
Abominable Christmas,5.3,"Animation, Short, Adventure, Comedy, Family"
About a Boy,7.1,"Comedy, Drama, Romance"
About Time,7.8,"Comedy, Drama, Fantasy"
Abzurdah,5.4,"Biography, Drama, Romance"
Acapulco La vida va,5.5,"Comedy, Drama"
Accident,6.9,Drama
Across Grace Alley,6.2,"Short, Drama, Music"
Across the Line,5.2,Drama
Across the Universe,7.3,"Drama, Fantasy, History"
Act of Valor,6.5,"Action, Adventure, Thriller"
Act of Vengeance,5.5,"Crime, Drama, Horror"
Action Replayy,4.3,"Comedy, Romance, Sci-Fi"
Acts of Vengeance,5.7,"Action, Drama, Thriller"
Acts of Violence,5.3,"Action, Crime"
Adú,6.7,Drama
Adam Devine: Best Time of Our Lives,5.8,Comedy
Adam Sandler: 100% Fresh,7.6,"Comedy, Music"
Adam: His Song Continues,7.1,"Crime, Drama"
Nuit de la Glisse: Addicted to Life,6.2,Documentary
Aditi Mittal: Things They Wouldn't Let Me Say,4.4,Comedy
Adore,5.5,"Short, Romance"
Adrift,6.6,"Action, Adventure, Biography"
Adrishya,3.7,"Drama, Family, Horror"
Advantageous,6.2,"Drama, Family, Sci-Fi"
Aerials,1.5,"Drama, Sci-Fi, Thriller"
Afonso Padilha: Classless,6.8,Comedy
After,5.3,"Drama, Romance"
After We Collided,5.2,"Drama, Romance"
Aftermath,5.7,"Drama, Thriller"
Afterschool,6.1,"Drama, Mystery"
Aftershock,4.8,"Action, Adventure, Horror"
Agatha and the Truth of Murder,6.3,"Crime, Drama, Mystery"
Age of Rebellion,8.5,"Crime, Drama, Romance"
Agneepath,6.9,"Action, Crime, Drama"
Agustín Aristarán: Soy Rada,6.7,Comedy
Agyaat,2.9,"Drama, Horror, Mystery"
Ahista Ahista,7.0,"Drama, Romance"
Ai Weiwei: Never Sorry,7.6,Documentary
Airplane Mode,2.5,Comedy
Aisa Yeh Jahaan,6.7,Drama
Aitraaz,6.6,"Drama, Romance, Thriller"
Aiyaary,5.3,"Action, Drama, Thriller"
Aiyyaa,4.4,"Comedy, Romance"
Ajab Prem Ki Ghazab Kahani,6.4,"Action, Comedy, Romance"
Ajji,7.0,"Crime, Drama"
AK vs AK,6.9,"Action, Comedy, Crime"
Ala Vaikunthapurramuloo,7.3,"Action, Comedy, Drama"
Alan Saldaña: Mi vida de pobre,6.2,Comedy
Alaska Is a Drag,6.4,Drama
Albert Pinto Ko Gussa Kyun Aata Hai?,5.5,Drama
Albion: The Enchanted Stallion,5.3,"Action, Adventure, Comedy"
Alelí,6.3,"Comedy, Drama"
Alex Fernández: The Best Comedian in the World,6.2,Comedy
Alex Strangelove,6.3,"Comedy, Drama, Romance"
Ali,6.8,"Biography, Drama, Sport"
Ali Baba ve 7 Cüceler,5.7,"Action, Comedy, Drama"
Ali Wong: Baby Cobra,7.6,Comedy
Ali Wong: Hard Knock Wife,7.4,Comedy
Ali's Wedding,6.9,"Comedy, Drama, Romance"
Alibaba Aur 40 Chor,6.2,"Action, Adventure, Family"
Alice Doesn't Live Here Anymore,7.3,"Drama, Romance"
Alice Júnior,7.0,"Animation, Comedy, Drama"
Alien Contact: Outer Space,3.9,Documentary
Alien Warfare,2.6,"Action, Sci-Fi"
Alien Xmas,6.2,"Animation, Short, Adventure, Comedy, Family, Fantasy, Sci-Fi"
Aliens Ate My Homework,4.6,"Adventure, Comedy, Family, Fantasy, Sci-Fi"
Duk haan chau faan,6.3,"Comedy, Romance"
All About Nina,6.1,"Comedy, Drama, Romance"
All Because of You,4.0,"Action, Comedy, Romance"
All Day and a Night,5.8,Drama
All Dogs Go to Heaven,6.8,"Animation, Comedy, Drama"
All Hallows' Eve,5.1,"Horror, Thriller"
All Light Will End,3.9,"Horror, Thriller"
All of You,5.5,"Drama, Romance"
All the Boys Love Mandy Lane,5.5,"Horror, Mystery, Thriller"
All the Bright Places,6.5,"Drama, Romance"
All the Devil's Men,5.1,"Action, Thriller"
All Together Now,6.5,Drama
Alles ist gut,6.5,Drama
Almost Happy,N/A,"Drama, Romance, Thriller"
Sabrina Carpenter: Almost Love,7.5,"Short, Music"
Alone in Berlin,6.5,"Drama, History, War"
Alone/Together,6.7,"Drama, Romance"
Along Came a Spider,6.4,"Drama, Thriller"
Alpha and Omega 2: A Howl-iday Adventure,5.0,"Animation, Action, Adventure, Comedy, Family"
Altered Carbon: Resleeved,6.5,"Animation, Action, Crime"
Always a Bridesmaid,5.7,"Comedy, Romance"
Always Be My Maybe,6.8,"Comedy, Romance"
Amandla! A Revolution in Four Part Harmony,7.3,"Documentary, History, Music"
Amar,5.2,"Drama, Romance"
Amar Akbar Anthony,7.5,"Action, Comedy, Drama"
Amar Akbar Anthony,7.5,"Action, Comedy, Drama"
Amateur,6.9,"Comedy, Crime, Drama"
American Anarchist,5.8,Documentary
American Assassin,6.2,"Action, Thriller"
American Beauty,8.3,Drama
American Hangman,5.9,Thriller
American Heist,5.0,"Action, Crime, Drama"
American History X,8.5,Drama
American Honey,7.0,"Adventure, Drama, Romance"
American Psycho,7.6,"Comedy, Crime, Drama"
American Son,5.8,Drama
"American Warfighter II, Celcius",N/A,Action
Amrapali,6.6,"Musical, Fantasy"
Amy,7.8,"Documentary, Biography, Music"
Amy Schumer: Growing,5.3,Comedy
Amy Schumer: The Leather Special,2.9,Comedy
An American Tail,6.9,"Animation, Adventure, Comedy"
An American Tail: Fievel Goes West,6.5,"Animation, Adventure, Family"
An American Tail: The Mystery of the Night Monster,6.0,"Animation, Adventure, Family, Mystery"
An Evening with Beverly Luff Linn,5.8,"Comedy, Crime"
An Interview with God,5.8,"Drama, Mystery"
An Ordinary Man,5.6,"Drama, Thriller, War"
An Unremarkable Christmas,3.4,"Comedy, Drama"
Ana e Vitória,6.6,"Biography, Comedy, Music"
Anaamika,5.6,Thriller
Anchor and Hope,6.3,"Comedy, Drama, Romance"
Anchor Baby,6.3,"Drama, Thriller"
Andaz Apna Apna,8.1,"Action, Comedy, Romance"
Andhadhun,8.2,"Crime, Drama, Music"
André and Wally B.,5.3,"Animation, Short, Family"
Anelka: Misunderstood,6.4,"Documentary, Sport"
Anesthesia,6.1,"Crime, Drama"
Angamaly Diaries,8.0,"Action, Comedy, Thriller"
Angel Eyes,5.6,"Drama, Romance"
Angel Has Fallen,6.4,"Action, Thriller"
Angela's Christmas,7.0,"Animation, Short, Adventure"
Angela's Christmas Wish,7.0,"Animation, Adventure, Comedy"
Angels & Demons,6.7,"Action, Mystery, Thriller"
Anger Management,6.2,Comedy
Angry Indian Goddesses,7.0,"Comedy, Drama"
Ani... Dr. Kashinath Ghanekar,8.5,Drama
Anima,7.7,"Short, Music"
Animal Crackers,7.5,"Comedy, Musical"
Animal World,7.3,Documentary
Animas,N/A,Short
Anitta: Made in Honório,7.1,"Documentary, Biography, Music"
Anjaan,5.2,"Action, Crime, Thriller"
Anjelah Johnson: Not Fancy,5.8,"Documentary, Comedy"
Ankhon Dekhi,8.0,"Comedy, Drama"
Ankur Arora Murder Case,6.5,"Drama, Thriller"
Annabelle Hooper and the Ghosts of Nantucket,5.6,"Adventure, Family, Mystery"
Anon,6.1,"Crime, Sci-Fi, Thriller"
Another Forever,5.3,Drama
Ant-Man and the Wasp,7.0,"Action, Adventure, Comedy"
Anthony Jeselnik: Fire in the Maternity Ward,7.2,Comedy
Anthony Jeselnik: Thoughts and Prayers,7.8,Comedy
Anthony Kaun Hai?,5.2,"Mystery, Thriller"
Antidote,5.1,"Horror, Thriller"
Anwar,6.6,"Drama, Romance, Thriller"
Apaharan,7.4,"Action, Crime, Drama"
Apex: The Story of the Hypercar,7.3,Documentary
Apollo 18,5.2,"Horror, Mystery, Sci-Fi"
Apostle,6.3,"Drama, Fantasy, Horror"
Arès,6.3,"Drama, Sci-Fi, Thriller"
Aram + Aram = Kinnaram,7.2,Comedy
Arango y Sanint: Ríase el show,4.0,Comedy
Are We Done Yet?,4.3,"Comedy, Family, Fantasy"
Ari Eldjárn: Pardon My Icelandic,7.9,Comedy
Ari Shaffir: Double Negative,6.8,Comedy
"Ariana Grande: Excuse Me, I Love You",6.4,"Documentary, Music"
Arjun: The Warrior Prince,6.9,"Animation, Action, Adventure"
ARQ,6.4,"Action, Sci-Fi, Thriller"
Arrow,7.5,"Action, Adventure, Crime"
Arsenio Hall: Smart and Classy,6.0,Comedy
Arthur,5.7,"Comedy, Romance"
Arthur Christmas,7.1,"Animation, Adventure, Comedy"
Article 15,8.2,"Crime, Drama, Mystery"
Aruna,N/A,"Short, Drama"
"As Above, So Below",6.2,"Horror, Mystery, Thriller"
As Good as It Gets,7.7,"Comedy, Drama, Romance"
Ascharyachakit!,5.0,"Drama, Romance"
Asees,7.4,Drama
Asoka,6.5,"Action, Biography, Drama"
Asperger's Are Us,6.7,"Documentary, Comedy, Drama"
Assimilate,5.3,"Horror, Mystery, Sci-Fi"
Asura Guru,3.2,"Action, Crime, Thriller"
At All Costs,6.5,"Documentary, Sport"
Love at First Light,N/A,"Short, Comedy"
ATM,4.7,"Horror, Thriller"
Attacking the Devil: Harold Evans and the Last Nazi War Crime,8.0,Documentary
Aurora,6.0,"Romance, Sci-Fi, Thriller"
Austin Powers in Goldmember,6.2,"Action, Adventure, Comedy"
Austin Powers: International Man of Mystery,7.0,"Adventure, Comedy"
Austin Powers: The Spy Who Shagged Me,6.6,"Action, Adventure, Comedy"
Autohead,6.0,"Crime, Drama"
Automata,4.8,Horror
Ava,5.4,"Action, Crime, Drama"
Ave Maryam,7.1,"Drama, Romance"
Avengement,6.6,"Action, Crime"
Avengers: Infinity War,8.4,"Action, Adventure, Sci-Fi"
Avicii: True Stories,7.6,"Documentary, Biography, Music"
Await Further Instructions,4.8,"Horror, Mystery, Sci-Fi"
Awake,6.5,"Crime, Drama, Mystery"
Awe,N/A,"Documentary, Short"
Axone,7.0,"Comedy, Drama"
Ayana,7.2,Drama
Azali,5.6,Drama
Azhar,5.7,"Biography, Drama, Sport"
Aziz Ansari: Buried Alive,7.3,Comedy
Aziz Ansari: Right Now,7.5,Comedy
B.A. Pass,6.4,"Crime, Drama, Thriller"
B.A. Pass 2,2.1,Drama
Baadshaho,4.9,"Action, Adventure, Thriller"
Baaghi,5.2,"Action, Romance, Thriller"
Baazaar,6.6,"Crime, Drama, Thriller"
Babam ve Oglum,8.2,"Drama, Family"
Babamin Ceketi,4.9,Comedy
Babel,7.4,Drama
Baby Dolls,N/A,"Documentary, Short"
Baby Mamas,6.5,Comedy
Back and Forth,8.1,Short
Back of the Net,5.3,"Comedy, Family"
Backcountry,6.0,"Adventure, Drama, Horror"
Backdraft 2,4.8,"Action, Crime, Drama, Thriller"
Backfire,6.6,"Crime, Film-Noir, Mystery"
Backtrack,6.0,"Drama, Fantasy, Mystery"
Bad Boys,6.9,"Action, Comedy, Crime"
Bad Boys II,6.6,"Action, Comedy, Crime"
Bad Day for the Cut,6.5,"Action, Crime, Drama"
Bad Genius,7.7,"Crime, Drama, Thriller"
Bad Grandpa .5,6.3,Comedy
Bad Match,5.6,"Mystery, Thriller"
Bad Rap,6.5,"Documentary, Music"
Bad Seeds,3.0,Drama
Badha,7.0,"Action, Drama, Romance"
Badla,7.8,"Crime, Drama, Mystery"
Badland,5.5,Western
Balto,7.1,"Animation, Adventure, Drama"
Balu Mahi,6.3,"Adventure, Drama, Romance"
Bana Masal Anlatma,7.4,"Comedy, Fantasy, Romance"
Banana Island Ghost,6.2,"Action, Comedy, Fantasy"
Banana Split,6.2,Comedy
Band Aid,6.6,"Comedy, Drama, Music"
Band of Robbers,6.0,"Adventure, Comedy, Crime"
Bandie,4.6,"Action, Drama, Romance"
Bang Rajan 2,5.5,"Action, Adventure, War"
Bangistan,4.5,"Comedy, Drama"
Barça Dreams,7.3,"Documentary, Sport"
Barah Aana,6.8,"Comedy, Crime, Drama"
Barbie as The Princess and the Pauper,6.9,"Animation, Comedy, Family, Musical"
Barbie: Dolphin Magic,5.7,"Animation, Adventure, Family, Fantasy"
Barbie in a Mermaid Tale,6.3,"Animation, Family, Fantasy"
Barbie in Princess Power,5.5,"Animation, Family, Fantasy"
Barbie in Rock 'N Royals,6.1,"Animation, Family"
Barbie Princess Adventure,5.6,"Animation, Family, Musical"
Barbie: Star Light Adventure,6.0,"Animation, Family, Sci-Fi"
Barbie: A Fairy Secret,5.8,"Animation, Family, Fantasy"
Barbie: Princess Charm School,6.5,"Animation, Family, Fantasy"
Barbie: Spy Squad,5.7,"Animation, Family"
Barbie: The Princess & the Popstar,5.8,"Animation, Family, Musical"
Barbie Video Game Hero,5.2,Animation
Barbra: The Music... The Mem'ries... The Magic!,7.5,Music
Barcelona: A Love Untold,6.9,"Drama, Romance"
Bareilly Ki Barfi,7.5,"Comedy, Romance"
Barely Lethal,5.4,"Action, Comedy"
Barfi!,8.1,"Comedy, Drama, Romance"
Barrio Universitario,3.5,"Comedy, Romance"
Barry,8.3,"Action, Comedy, Crime"
Barsaat,5.4,"Action, Romance"
BASEketball,6.5,"Comedy, Sport"
Basic Instinct,7.0,"Drama, Mystery, Thriller"
Bathinda Express,5.7,Drama
Bathtubs Over Broadway,7.6,"Documentary, Comedy, Music"
Batman: The Killing Joke,6.4,"Animation, Action, Crime"
Battle,5.9,"Drama, Music, Romance"
Battle Drone,5.1,"Action, Sci-Fi"
Bawarchi,8.0,"Comedy, Musical, Drama"
Baxu and the Giants,7.2,"Short, Drama, Family"
Bayonet,6.5,"Short, Drama, Thriller"
Bazaar,7.3,"Drama, Family"
Bbuddah... Hoga Terra Baap,5.6,"Action, Comedy, Crime"
Be Here Now,8.6,"Documentary, Biography, Drama"
Be Somebody,5.6,"Comedy, Drama, Romance"
Beasts of No Nation,7.7,"Drama, War"
Beats,6.4,Drama
Beauty and the Bestie,4.8,"Action, Comedy, Drama"
Beavis and Butt-Head Do America,6.8,"Animation, Adventure, Comedy"
Bébé's Kids,5.8,"Animation, Comedy, Fantasy"
Becoming,6.8,Documentary
Becoming Jane,7.0,"Biography, Drama, Romance"
Bedtime Stories,6.0,"Adventure, Comedy, Family"
Bee Movie,6.1,"Animation, Adventure, Comedy"
Before 30,8.1,Drama
Before I Fall,6.5,"Drama, Fantasy, Mystery"
Before I Wake,6.2,"Drama, Fantasy, Horror"
Before the Flood,8.2,"Documentary, News"
Behind the Curtain: Todrick Hall,6.8,Documentary
Beiimaan Love,2.8,"Drama, Romance, Thriller"
Being AP,6.5,"Documentary, Sport"
Being Elmo: A Puppeteer's Journey,7.6,Documentary
Being Mrs Elliot,6.5,"Comedy, Romance"
Being Napoleon,5.4,Documentary
Belgica,6.7,Drama
Belief: The Possession of Janet Moses,5.7,"Documentary, Crime, Drama"
Belmonte,6.1,"Comedy, Drama"
Below Her Mouth,5.5,"Drama, Romance"
Ben Platt Live from Radio City Music Hall,8.4,Music
Benchwarmers 2: Breaking Balls,4.1,"Comedy, Sport"
Beneath the Leaves,4.6,Thriller
Benji,6.1,"Adventure, Family, Romance"
Benji: Off the Leash!,5.1,"Drama, Family"
Benji's Very Own Christmas Story,5.2,Family
Bennett's War,5.9,Sport
Berlin Calling,7.2,"Comedy, Drama, Music"
Berlin Kaplani,5.1,"Comedy, Family, Sport"
Berlin Syndrome,6.3,"Drama, Horror, Mystery"
Bert Kreischer: Hey Big Boy,7.1,Comedy
Bert Kreischer: The Machine,7.7,Comedy
"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",8.7,N/A
Best Worst Thing That Ever Could Have Happened...,7.5,Documentary
Bethany Hamilton: Unstoppable,7.4,"Documentary, Sport"
Betting on Zero,7.2,Documentary
Betty White: First Lady of Television,7.8,Documentary
Between Maybes,6.3,"Drama, Romance"
Between Two Ferns: The Movie,6.1,Comedy
Between Worlds,4.0,"Fantasy, Thriller"
Bewafaa,4.4,"Drama, Romance"
Beynelmilel,7.2,"Comedy, Drama, Music"
Beyond All Boundaries,7.4,"Short, War"
Beyond Skyline,5.3,"Action, Adventure, Sci-Fi"
Beyond the Clouds,7.0,"Drama, Family"
Bhagam Bhag,6.5,"Comedy, Drama, Mystery"
Bhangra Paa Le,6.1,"Comedy, Drama, Music"
Bhasmasur,6.8,Drama
Bhavesh Joshi Superhero,7.6,"Action, Crime, Drama"
Bheeshma,6.6,"Action, Comedy, Romance"
Bhool Bhulaiyaa,7.3,"Comedy, Horror, Mystery"
Bhoot,6.5,"Horror, Mystery, Thriller"
Bhouri,6.8,Drama
Bibi,6.4,"Animation, Short, Adventure"
Bibi,6.4,"Animation, Short, Adventure"
Bibi,6.4,"Animation, Short, Adventure"
Bibi,6.4,"Animation, Short, Adventure"
Big Bear,5.1,Comedy
Big Daddy,6.4,"Comedy, Drama"
Big Fat Liar,5.5,"Adventure, Comedy, Family"
Big Kill,5.3,"Action, Western"
Big Miracle,6.5,"Biography, Drama, Family"
Big Stone Gap,5.7,"Comedy, Romance"
Big Time,8.1,"Documentary, Music"
Big Time Movie,6.4,"Comedy, Family, Music"
Bigflo & Oli: Hip Hop Frenzy,6.9,"Documentary, Music"
Biggie and Tupac,6.8,"Documentary, Biography, Crime"
"Bikram: Yogi, Guru, Predator",6.7,"Documentary, Crime"
Bill Burr: I'm Sorry You Feel That Way,8.3,Comedy
Bill Burr: Let It Go,8.4,Comedy
Bill Burr: Paper Tiger,8.2,Comedy
Bill Burr: Walk Your Way Out,7.3,Comedy
Bill Burr: You People Are All the Same.,8.3,Comedy
Bill Hicks: Relentless,8.6,"Documentary, Comedy"
Bill Hicks: Revelations,8.6,"Documentary, Comedy"
Bill Hicks: Sane Man,8.4,"Documentary, Comedy"
Bill Nye: Science Guy,6.4,Documentary
Billu,6.3,"Comedy, Drama"
Billy Elliot,7.7,"Drama, Music"
Billy Graham: An Extraordinary Journey,7.6,"Documentary, Biography, Family, History"
Bioscope,5.7,Drama
Bir Baba Hindu,2.7,"Action, Adventure, Comedy"
Bird Box,6.6,"Horror, Sci-Fi"
Birdshot,6.7,"Drama, Mystery, Thriller"
Birthmarked,5.8,Comedy
Bitch,5.1,"Comedy, Drama, Thriller"
Bitcoin Heist,5.8,"Action, Comedy"
BitterSweet,4.5,"Romance, Thriller"
Bittoo Boss,4.1,Romance
Black,8.2,Drama
Black '47,6.9,"Action, Drama, History"
Black,8.2,Drama
Black Friday,8.5,"Action, Crime, Drama"
Black Hawk Down,7.7,"Drama, History, War"
Black Panther,7.3,"Action, Adventure, Sci-Fi"
Black Rose,2.6,"Action, Crime, Drama"
Black Sea,6.4,"Adventure, Drama, Thriller"
Black Site Delta,3.8,Action
Black Snake Moan,6.9,"Drama, Music"
Black Snow,5.2,Action
Blackpink: Light Up the Sky,7.5,"Documentary, Music"
Blame!,6.7,"Animation, Action, Drama"
Blaze,6.0,"Biography, Comedy, Drama"
Bleed for This,6.8,"Biography, Drama, Sport"
Blessed Benefit,6.6,"Comedy, Drama"
Blind Date,6.0,"Comedy, Romance"
Blind Detective,N/A,"Short, Comedy"
Blinky Bill: The Movie,5.1,"Animation, Adventure, Family"
Blockbuster,3.5,"Comedy, Drama"
Blood Father,6.4,"Action, Crime, Drama"
Blood Money,4.5,"Crime, Drama, Thriller"
Blood Will Tell,6.9,"Action, Adventure, Romance"
Blow,7.6,"Biography, Crime, Drama"
Blue Jasmine,7.3,"Comedy, Drama"
Blue Jay,7.3,"Drama, Romance"
Blue Mountain State: The Rise of Thadland,5.7,"Comedy, Sport"
Blue Ruin,7.1,"Crime, Drama, Thriller"
Blue Streak,6.3,"Action, Comedy, Crime"
Blue Valentine,7.3,"Drama, Romance"
Bluffmaster!,6.6,"Comedy, Crime, Drama"
Bo Burnham: Make Happy,8.4,"Comedy, Music"
Bo Burnham: what.,8.4,"Comedy, Music"
Bob Lazar: Area 51 & Flying Saucers,5.6,Documentary
Bob's Broken Sleigh,4.7,"Animation, Short, Adventure, Family"
Bobbi Jene,6.2,"Documentary, Drama, Romance"
Bobbleheads: The Movie,2.6,"Animation, Family"
Bobby,7.0,"Biography, Drama, History"
Bobby Jasoos,5.5,"Comedy, Drama, Thriller"
Bobby Robson: More Than a Manager,8.2,"Documentary, Sport"
Bodyguard,8.1,"Crime, Drama, Thriller"
Bogda,7.1,Drama
Boi,5.0,"Mystery, Thriller"
